Study_Hours,Attendance,Previous_Marks,Assignment,Final_Score
2.0,69,100,85,75.0
7.6,57,96,56,74.5
3.9,81,58,50,59.5
5.1,96,90,66,85.0
4.9,70,97,43,69.4
5.8,90,38,62,61.0
8.7,68,46,62,62.4
9.8,78,78,88,87.4
4.1,80,92,96,86.0
8.3,55,75,73,61.6
7.6,53,42,60,51.4
5.7,92,74,61,71.8
9.6,78,82,40,76.6
2.0,91,46,71,65.6
1.1,52,76,67,59.8
8.5,50,91,57,72.8
4.4,93,79,46,74.8
8.5,64,72,93,78.4
8.9,96,97,77,93.8
0.6,70,57,45,51.6
8.8,95,74,53,80.4
4.5,80,70,69,67.5
5.1,56,65,94,64.9
6.3,66,62,97,70.1
9.3,68,54,83,70.4
0.2,88,48,85,64.8
4.8,52,76,53,63.7
6.9,79,62,83,71.6
7.2,84,96,80,92.4
6.9,78,43,48,58.0
1.3,99,62,70,67.9
3.0,63,71,41,55.8
3.6,84,94,57,71.1
8.0,77,76,44,67.5
2.8,79,64,65,62.4
2.1,75,61,62,55.9
9.6,56,84,51,66.7
0.1,88,83,53,64.5
10.0,80,80,99,86.5
6.8,54,88,52,63.8
8.3,84,43,74,72.1
2.9,99,47,86,64.5
0.1,96,84,54,69.5
7.4,63,85,74,74.4
8.3,85,78,91,85.0
7.4,76,89,58,71.4
1.4,73,82,54,60.5
7.5,89,100,90,91.7
7.7,78,35,47,55.6
6.6,94,99,62,78.7
7.7,71,37,52,56.1
8.5,57,44,62,57.9
6.1,64,55,70,64.6
0.9,98,68,69,71.8
4.9,54,32,81,53.8
0.8,53,86,41,54.4
4.1,60,39,50,51.5
4.1,67,32,64,51.2
0.7,91,75,68,69.4
3.5,98,51,61,60.9
1.1,79,96,58,67.0
8.1,64,94,48,76.7
9.5,55,48,80,68.2
0.7,65,91,77,69.6
9.6,96,86,68,83.3
5.2,89,42,49,54.8
3.0,58,45,61,47.8
0.8,92,45,63,58.3
5.0,83,81,47,70.1
7.9,76,70,86,82.0
7.1,62,77,45,59.9
0.5,85,68,46,56.5
0.7,76,42,59,56.1
4.0,58,33,56,42.6
3.0,54,72,75,61.6
2.3,100,75,47,62.0
2.8,71,76,99,72.0
8.0,80,82,52,79.6
9.3,52,54,63,63.1
4.1,79,70,85,76.0
9.1,70,32,89,68.1
3.2,84,42,70,61.7
4.8,55,47,62,48.4
2.3,77,66,100,77.5
6.4,81,72,56,74.4
9.8,91,63,89,80.9
6.0,86,84,85,85.9
3.6,74,81,63,70.8
6.5,81,65,82,76.0
1.2,84,83,49,64.8
8.9,71,88,70,78.2
5.0,73,81,84,80.0
4.5,88,48,100,72.9
5.9,79,41,59,61.0
6.2,99,40,55,69.8
0.7,81,77,53,65.2
6.8,80,45,42,54.5
2.4,72,100,69,70.7
7.1,89,76,57,72.0
8.2,82,96,98,91.6
8.0,74,60,45,62.1
5.5,85,37,59,58.5
5.2,73,90,74,74.5
1.4,80,73,58,63.7
7.8,88,79,65,77.2
2.7,95,64,74,73.2
5.0,62,90,51,62.5
2.8,59,84,47,54.5
1.3,72,95,96,74.2
6.3,67,43,96,63.4
0.5,81,33,76,54.2
7.5,82,46,88,70.4
3.2,85,98,49,68.0
0.0,77,53,60,50.0
5.1,65,78,88,73.1
0.5,65,84,80,68.1
2.8,67,100,84,73.1
7.1,57,52,81,63.3
0.6,91,41,68,55.6
8.4,65,40,70,61.1
0.0,60,58,79,60.5
2.5,55,91,46,66.5
7.4,50,82,73,67.6
3.2,61,77,73,62.9
1.0,87,95,69,74.7
3.6,77,77,43,62.7
2.7,94,88,80,80.7
8.4,66,100,69,79.3
3.1,50,86,64,61.0
7.9,81,32,53,60.3
8.9,57,61,63,65.3
4.3,89,37,82,63.4
9.1,92,59,70,76.8
3.8,95,44,92,70.7
9.6,73,84,78,72.8
0.9,59,67,67,55.7
6.9,96,44,64,71.0
4.9,88,59,58,64.7
3.9,88,75,43,63.2
6.3,59,93,73,71.1
7.0,85,55,71,71.3
0.0,74,96,64,64.1
1.7,99,65,94,75.9
7.1,59,60,61,62.1
6.7,68,69,92,70.1
9.7,95,75,67,85.1
7.6,94,71,94,88.2
9.5,64,47,90,70.8
7.0,65,65,92,72.7
3.0,51,79,57,56.2
1.1,78,90,92,73.6
7.8,53,69,46,58.5
6.4,99,32,50,63.7
0.5,78,36,81,56.9
3.6,80,60,50,54.0
9.6,66,94,94,81.4
5.0,59,93,48,62.6
4.3,76,32,74,56.0
4.6,90,64,95,78.1
2.1,64,44,76,52.9
3.7,93,50,62,65.2
3.7,80,91,72,79.6
0.5,70,57,40,47.1
7.7,90,33,59,60.4
4.2,95,42,44,55.0
8.2,94,80,68,78.4
8.5,75,77,65,76.3
2.1,87,68,90,74.5
6.6,100,96,77,89.8
4.7,85,87,42,66.0
8.8,66,31,60,56.2
2.2,100,54,98,72.8
6.8,52,40,52,55.9
6.1,63,30,70,55.4
3.0,98,77,56,71.3
1.4,62,77,74,63.1
6.5,90,39,62,62.7
7.4,76,59,42,63.3
3.2,50,64,92,60.5
6.4,66,48,94,71.7
4.0,97,82,84,78.0
7.1,99,63,41,70.1
2.0,83,61,42,58.7
8.9,63,35,59,57.3
2.9,66,42,87,58.8
3.7,52,93,92,71.4
0.6,83,36,83,54.6
1.1,89,74,96,79.8
5.2,74,74,48,63.1
2.7,51,94,87,65.3
8.4,83,48,43,60.4
0.1,75,76,64,65.5
3.8,80,75,91,81.8
3.4,58,58,89,63.2
0.2,79,90,97,77.6
1.2,69,94,40,66.3
4.1,70,52,78,59.4
4.9,78,80,91,78.7
4.0,74,92,51,74.1
5.3,87,51,79,71.6
6.0,93,100,79,85.8
0.1,74,62,99,66.8
4.6,58,73,63,67.6
9.6,88,36,93,75.4
5.2,93,31,48,54.2
6.8,75,46,85,69.5
3.1,86,94,59,70.7
7.7,65,87,44,66.0
7.7,86,59,59,68.4
5.2,61,55,60,57.6
9.8,73,64,41,63.5
1.3,75,92,60,68.2
0.2,69,100,81,70.2
7.7,58,57,63,64.3
8.1,72,54,48,62.0
1.2,88,90,78,74.2
2.7,78,60,94,68.5
0.2,80,83,69,70.8
2.9,68,96,93,79.5
7.7,69,80,57,66.3
5.2,72,87,97,78.2
3.5,92,63,83,72.8
3.7,76,88,82,68.7
0.0,79,50,49,52.3
3.0,70,85,84,69.5
6.5,93,66,80,75.2
9.7,84,93,87,87.4
8.5,98,48,60,75.3
0.2,56,82,61,58.8
9.0,71,100,56,77.4
7.8,59,92,44,66.4
7.8,72,91,45,72.3
4.6,64,48,49,57.5
4.0,79,31,82,58.7
3.0,83,35,41,44.6
0.7,62,58,46,49.0
2.3,53,70,85,62.4
2.5,67,80,43,59.7
4.8,72,34,76,57.9
7.5,82,70,58,71.7
4.7,83,91,92,79.4
0.6,83,59,67,63.5
9.6,85,91,59,80.3
9.4,84,56,99,80.1
7.9,66,79,69,73.7
9.9,77,81,81,83.2
5.4,63,78,77,74.4
9.6,83,91,41,80.8
0.8,97,89,42,66.0
3.7,60,83,99,79.1
2.3,62,34,86,56.5
2.0,82,38,81,59.6
1.4,51,63,88,56.3
6.2,83,65,78,73.0
7.8,78,49,64,60.1
5.8,86,92,41,74.0
1.5,53,96,78,62.4
8.1,61,59,54,63.1
6.4,75,98,42,70.5
3.9,77,99,44,70.0
6.7,52,32,93,56.7
2.6,69,78,79,65.6
3.5,59,71,75,65.1
9.2,67,53,89,70.1
2.9,76,73,90,68.9
4.7,80,30,79,56.6
8.9,76,83,94,87.1
7.1,91,81,77,78.1
0.6,50,65,76,54.4
1.5,55,67,66,61.9
0.1,60,73,44,49.0
6.3,83,76,56,68.8
4.5,88,58,77,73.0
1.3,69,80,84,64.2
9.6,70,70,80,79.6
5.3,70,93,95,79.5
2.4,67,77,51,62.3
5.0,70,51,81,65.4
6.8,68,46,70,63.6
0.8,53,34,72,43.9
2.7,62,90,82,69.0
8.1,67,35,68,58.1
4.6,78,82,77,78.1
5.5,74,46,42,54.7
4.3,62,88,77,76.6
0.4,76,68,80,64.6
1.7,68,83,93,70.5
4.5,98,77,79,78.3
2.1,50,66,69,53.1
0.5,87,77,86,72.1
8.4,68,97,61,77.1
9.8,50,56,77,63.9
7.9,89,56,71,73.0
8.5,66,92,94,82.2
2.4,70,81,82,70.3
9.6,71,76,100,85.7
2.0,64,50,49,47.5
9.5,99,86,71,86.2
9.9,88,71,82,80.4
7.1,97,77,43,77.0
9.8,88,56,68,69.6
5.7,81,62,84,70.5
2.6,98,64,47,66.4
4.4,53,45,59,48.8
5.9,93,65,86,75.8
0.7,94,95,46,71.3
6.2,81,85,40,62.3
9.8,53,46,99,69.3
1.9,50,49,64,46.9
7.9,82,37,65,62.2
9.1,56,47,48,59.7
9.4,58,47,62,61.1
9.6,50,47,79,59.8
5.2,65,31,41,42.4
9.8,67,80,65,74.8
7.6,96,39,53,61.0
1.6,55,43,83,56.2
4.8,51,55,70,53.1
7.2,58,76,65,67.2
2.5,53,59,94,55.0
6.4,94,85,88,79.6
6.7,72,71,58,66.8
1.6,92,33,77,68.8
5.7,94,40,92,70.0
7.7,92,53,44,68.1
5.0,100,96,96,88.8
0.1,57,66,45,51.4
0.1,88,31,74,54.1
3.6,74,41,55,49.9
9.3,65,50,70,65.1
2.3,84,98,57,66.9
6.3,66,100,53,69.9
2.2,67,93,64,68.5
3.2,76,97,54,68.3
8.5,64,72,65,68.5
7.3,66,83,75,77.2
1.0,92,91,50,67.3
4.3,54,41,76,55.5
0.3,65,30,80,47.2
4.8,64,62,76,66.8
6.6,91,93,46,80.6
1.2,95,97,57,67.7
2.9,83,43,89,61.4
4.0,97,43,59,62.0
9.2,68,38,95,67.3
9.9,57,55,41,61.3
0.4,96,78,65,69.8
7.6,59,46,62,55.6
3.7,54,97,71,72.9
3.9,97,89,52,78.9
7.5,75,32,52,52.4
9.2,71,54,56,63.5
9.5,93,50,64,75.7
5.8,72,41,97,69.6
3.6,62,83,61,68.3
7.9,58,30,66,62.1
2.5,98,30,56,57.4
5.6,69,74,65,71.4
3.6,77,75,77,78.2
6.6,93,77,53,74.1
2.4,86,36,92,60.9
1.9,73,39,53,50.5
9.2,93,44,51,72.4
1.0,82,69,44,63.3
5.1,69,40,76,59.7
2.2,97,85,43,68.2
0.4,79,75,94,66.5
0.4,93,74,68,67.9
1.8,58,42,64,45.1
8.7,94,56,84,76.1
2.8,98,79,43,68.8
9.5,66,90,89,79.5
5.8,85,42,55,61.6
4.4,63,41,89,62.8
5.8,68,58,41,53.6
5.2,56,49,62,53.0
7.6,52,60,43,51.4
2.8,82,37,59,56.5
3.5,93,53,56,58.6
8.9,81,68,91,83.0
9.5,96,62,45,73.7
8.9,60,71,57,73.4
4.2,91,44,59,66.6
7.8,51,97,98,77.0
4.8,75,94,78,82.8
5.0,53,61,84,61.1
2.0,66,40,80,52.4
5.9,66,66,73,65.2
1.9,77,48,79,59.2
3.3,79,80,85,80.4
8.6,89,63,93,73.2
2.1,72,100,63,76.0
0.7,95,89,57,73.0
0.7,73,82,69,65.3
9.4,78,41,98,72.5
5.1,53,91,40,60.5
4.1,87,95,62,78.8
8.1,78,77,68,78.5
8.4,68,69,80,71.1
3.3,76,53,80,66.0
6.9,78,79,71,73.5
7.7,85,97,41,75.9
6.5,84,72,87,82.3
1.5,55,46,75,53.7
8.8,72,84,84,76.1
5.4,88,63,56,67.8
2.8,95,99,82,84.2
4.3,93,89,94,84.9
0.4,97,80,41,56.4
1.3,57,64,43,44.9
7.7,51,63,83,61.1
0.0,62,45,73,48.4
4.2,89,47,40,57.5
5.2,70,67,62,62.9
0.5,80,72,45,55.8
9.7,97,61,55,70.5
2.3,85,36,41,46.2
3.0,97,75,85,74.5
3.0,87,90,91,83.1
2.3,76,47,51,54.4
0.0,85,100,66,74.4
7.3,97,69,58,76.6
9.7,72,79,67,79.0
2.2,70,34,74,49.0
6.6,62,83,90,80.0
7.4,86,87,82,86.7
8.5,96,51,43,66.5
4.2,75,67,88,73.8
3.0,89,78,88,80.3
3.3,56,30,46,42.0
7.1,95,65,76,79.3
8.2,88,57,90,76.7
1.8,71,64,64,63.2
3.7,88,89,92,80.3
9.0,72,91,97,87.6
8.1,79,75,90,80.7
9.8,67,90,80,80.1
7.5,91,94,56,75.7
3.9,67,55,80,65.2
5.9,95,64,53,69.7
6.6,59,86,76,77.9
0.8,88,92,93,82.1
5.4,79,33,41,55.6
7.1,75,71,63,72.4
1.7,56,74,54,57.3
7.8,56,68,87,71.1
5.8,54,94,90,78.1
9.5,50,51,72,61.2
0.4,95,40,94,57.3
2.7,67,66,51,58.8
6.0,62,80,58,68.3
3.0,74,87,91,71.5
7.1,89,36,86,71.3
7.6,57,37,44,52.1
1.0,59,80,40,56.5
5.1,81,52,82,67.8
5.1,66,38,98,58.8
3.7,87,75,48,64.7
9.3,64,67,78,71.3
8.3,64,42,73,62.1
7.0,97,36,68,67.7
7.1,89,40,88,70.7
4.6,100,79,87,83.6
9.2,69,96,87,81.8
6.9,64,70,85,72.9
7.3,84,58,98,75.8
8.6,55,66,41,58.9
2.7,79,85,58,62.3
8.1,57,45,67,62.3
2.0,80,73,74,66.4
3.5,97,79,79,78.7
3.4,96,100,92,84.4
9.8,81,35,96,71.8
8.6,94,47,90,74.7
7.0,64,48,87,66.3
7.3,67,80,61,72.0
5.6,62,95,43,63.3
9.5,73,32,47,57.9
5.0,89,83,99,83.1
3.8,63,78,40,58.6
1.6,77,57,75,58.7
7.9,60,67,46,62.8
7.3,55,57,64,59.8
3.8,74,61,68,62.9
0.3,50,70,40,53.4
8.4,74,65,95,72.7
0.1,51,65,57,50.8
7.0,81,95,43,75.4
9.7,62,39,59,61.5
4.4,82,99,85,83.9
2.3,81,92,47,67.8
7.0,73,51,66,65.5
8.2,76,49,89,80.1
5.5,53,62,78,61.7
9.7,73,44,74,67.6
0.5,72,36,64,46.0
5.0,78,79,92,75.2
7.2,83,39,53,61.3
8.6,70,66,83,75.6
1.8,79,88,86,74.0
8.0,75,92,79,83.8
5.5,69,50,70,60.3
4.0,65,66,44,63.7
1.3,52,74,56,54.2
8.7,98,43,96,81.3
1.6,86,72,49,62.5
3.1,89,62,82,68.6
2.9,93,32,99,65.1
8.7,74,73,94,77.2
6.7,72,64,55,59.5
8.0,93,54,87,80.6
2.5,50,37,43,38.8
6.2,82,91,94,84.6
5.7,64,47,44,57.5
8.3,66,57,81,73.1
9.1,83,41,85,72.5
0.1,66,93,80,67.3
6.7,90,31,89,68.2
0.5,93,88,59,76.4
5.5,53,66,45,55.7
2.9,62,33,50,54.3
3.1,53,70,92,60.6
3.5,56,74,56,58.4
6.2,95,63,80,80.2
3.3,58,42,96,62.3
7.3,72,36,42,55.8
4.0,82,61,55,60.9
0.7,82,52,91,60.0
7.8,69,78,75,74.1
2.9,53,76,65,62.4
4.3,50,66,63,62.1
6.9,91,77,93,84.3
3.3,83,58,86,68.5
0.6,76,66,73,62.3
3.7,70,52,59,57.6
9.4,73,67,56,73.7
6.4,64,73,90,72.1
6.7,84,34,59,59.9
6.3,74,81,55,71.1
2.0,58,69,95,62.9
4.2,66,40,90,57.8
7.5,70,31,92,68.8
1.0,62,64,88,61.2
2.8,52,74,100,69.6
2.8,53,78,43,56.3
4.3,53,64,57,51.7
9.8,92,61,75,77.4
0.7,77,97,92,76.4
5.2,56,100,74,72.4
1.8,75,68,69,63.6
9.7,60,77,93,79.5
1.1,73,66,99,70.5
4.0,92,89,57,74.5
7.4,59,33,60,53.9
7.0,86,52,91,70.4
4.2,62,43,71,53.8
3.5,93,34,44,52.6
4.0,91,95,100,85.4
2.6,88,53,80,65.2
2.1,68,47,93,62.6
4.8,100,56,62,74.9
2.7,68,53,69,53.5
2.9,61,58,66,55.9
6.6,71,40,95,64.3
9.7,96,47,54,66.9
6.0,86,33,80,63.2
0.8,79,62,53,53.5
0.8,95,71,60,66.6
9.5,61,61,95,74.1
3.0,78,80,73,69.2
0.9,70,33,65,49.5
6.0,60,49,64,53.4
6.2,86,96,89,83.2
6.5,97,97,84,90.0
2.7,67,91,70,65.8
0.2,93,87,99,72.9
9.7,76,76,92,87.9
2.5,86,88,87,78.7
6.8,97,35,45,64.0
7.1,61,69,87,69.2
6.1,72,52,43,53.0
3.1,83,81,63,70.5
2.7,87,33,81,57.0
6.0,72,66,70,70.9
8.7,74,71,58,71.7
9.5,53,73,50,65.1
1.1,79,71,68,64.2
1.5,79,58,44,60.5
9.4,62,48,57,63.4
7.4,91,61,42,66.5
8.8,98,73,79,84.7
2.0,63,84,50,57.0
5.9,96,34,60,61.2
7.0,57,75,69,71.1
6.8,73,74,58,68.9
4.1,67,50,92,66.5
0.2,84,51,64,54.1
5.8,74,59,74,69.7
2.5,66,52,51,51.4
4.5,81,34,86,63.4
9.6,73,92,65,80.3
4.0,56,88,94,73.2
8.4,62,81,95,78.9
1.9,76,94,87,79.4
6.7,97,68,44,66.1
9.8,54,32,58,56.6
1.0,85,71,66,62.8
0.1,75,100,77,69.0
4.3,91,56,68,74.0
0.9,94,57,51,56.6
7.5,80,83,58,69.2
9.1,59,44,48,59.5
4.3,95,82,57,72.4
2.6,75,99,68,76.9
4.3,71,33,42,41.5
7.2,61,46,62,64.0
0.1,81,63,69,63.4
5.9,76,35,85,62.8
6.1,82,65,97,72.4
6.4,69,68,63,62.4
2.4,88,95,92,79.5
7.1,90,37,76,70.0
0.9,89,44,76,57.7
2.0,62,92,43,53.8
8.8,63,94,96,84.9
7.4,93,88,93,91.6
0.1,89,39,100,70.2
2.5,71,36,67,49.5
2.1,67,41,55,46.6
2.7,97,75,52,59.7
2.5,78,61,47,52.5
0.6,92,61,95,67.4
4.6,65,90,92,73.7
7.3,95,98,87,89.0
6.1,84,90,99,87.8
6.7,83,75,64,75.0
0.8,52,97,41,54.6
9.5,53,84,69,72.7
8.4,54,30,79,53.5
8.1,59,96,42,67.4
8.2,78,78,62,70.8
9.3,81,54,68,69.3
5.4,80,45,80,71.2
2.0,51,42,69,48.6
6.2,61,81,50,62.6
7.4,76,65,60,69.9
7.4,54,73,66,64.5
5.2,86,76,63,77.2
0.7,76,49,91,62.3
3.7,72,47,70,55.3
9.2,82,83,69,84.5
5.8,53,41,40,48.8
5.4,70,54,40,56.7
2.7,73,89,93,78.4
3.7,93,63,47,66.3
9.0,80,42,87,73.3
6.7,93,67,81,77.8
7.9,97,41,73,74.2
4.5,73,65,55,61.4
6.3,98,57,66,76.4
2.5,59,68,43,54.1
7.1,98,72,58,76.6
4.3,98,60,68,72.7
4.4,99,31,80,66.1
6.5,51,71,42,60.7
9.4,80,60,50,71.4
0.6,74,90,47,62.1
8.2,53,85,78,63.5
2.9,100,43,72,67.9
4.4,60,43,47,50.6
0.2,66,58,64,60.8
3.0,93,79,63,68.0
5.0,51,79,65,62.1
0.6,55,92,65,56.6
4.9,58,94,56,64.8
9.3,54,97,66,80.4
1.1,69,100,68,64.3
7.6,78,40,82,63.2
4.1,70,43,78,61.3
6.6,58,32,100,62.4
2.6,77,37,48,49.1
1.6,57,72,53,46.6
1.6,80,38,44,52.6
0.7,69,48,89,57.7
1.9,76,41,69,52.1
6.6,57,56,95,68.6
8.8,70,87,96,88.1
8.1,77,54,94,74.2
6.9,72,74,67,68.9
1.1,55,77,84,62.4
2.9,52,79,76,63.8
3.1,54,73,47,55.9
2.5,58,88,54,60.3
5.2,56,62,93,70.1
5.4,53,57,67,55.1
3.6,88,47,75,64.1
3.5,54,84,72,64.2
8.3,60,62,45,55.7
7.9,64,44,95,69.1
3.1,83,90,90,79.3
9.1,62,40,51,56.5
9.5,97,65,46,75.9
3.3,56,44,84,55.3
3.5,89,82,67,77.6
5.1,55,91,46,64.3
9.4,88,77,80,84.7
8.8,99,44,40,64.0
1.0,79,92,92,70.2
3.9,71,72,63,66.9
5.5,74,79,84,69.5
5.0,77,89,100,81.5
1.9,69,88,58,67.1
8.6,88,44,92,72.9
6.8,52,58,71,59.5
8.4,54,69,69,62.5
8.6,50,60,40,53.1
7.5,64,40,71,57.8
4.4,75,91,96,79.0
6.1,52,37,59,51.0
1.6,89,80,60,68.8
6.7,90,86,58,81.7
1.8,96,33,69,57.2
6.9,91,65,89,81.1
2.3,83,48,67,57.6
1.2,54,53,71,56.6
1.7,80,70,69,65.1
0.0,100,78,62,68.3
7.2,62,75,66,66.0
7.3,92,65,76,79.8
5.1,50,39,98,59.3
1.6,71,36,65,51.4
0.8,64,41,42,40.1
0.2,75,77,70,61.0
1.7,67,66,41,47.4
8.9,97,65,97,84.7
2.4,58,89,93,69.5
3.5,50,37,49,39.6
1.1,92,36,77,59.0
2.2,58,72,58,55.8
5.2,72,87,70,70.8
6.1,92,75,68,73.6
2.5,94,63,64,67.3
0.6,51,51,71,46.9
3.9,63,50,56,58.7
2.3,87,44,90,64.8
2.2,89,34,84,63.9
9.6,67,46,88,66.9
6.2,65,48,62,58.2
5.6,78,34,57,53.3
4.2,93,52,50,63.5
4.3,60,43,98,61.6
5.4,55,39,99,67.0
7.0,52,60,91,65.7
7.0,63,42,59,51.5
1.7,51,51,52,46.0
5.0,81,66,63,67.9
4.1,80,68,82,69.2
8.7,60,39,59,55.2
6.3,71,60,90,67.7
5.3,52,72,81,66.9
1.2,99,65,67,69.5
6.1,80,64,74,78.1
1.2,82,97,60,70.0
3.4,73,84,45,63.9
1.4,50,97,46,57.0
6.9,93,76,68,86.2
2.1,64,35,92,57.6
3.9,86,57,62,64.3
9.0,76,59,91,83.0
2.0,87,56,44,56.8
5.1,97,98,61,92.0
4.2,76,68,48,66.5
0.2,93,64,71,65.1
7.9,61,73,93,76.9
0.7,52,44,49,42.5
4.7,79,61,85,72.6
5.6,81,58,82,68.9
6.3,72,92,88,86.9
6.9,51,35,67,50.9
2.5,56,56,50,50.7
0.1,83,57,46,54.8
7.2,81,34,69,61.7
5.4,88,70,82,72.1
8.4,81,85,84,84.1
8.2,92,83,98,90.1
8.4,92,47,90,75.9
4.9,63,72,77,66.2
3.3,52,58,73,56.7
7.9,95,39,85,77.1
4.5,81,35,67,61.8
1.8,92,33,71,59.4
8.5,85,63,55,69.7
8.8,66,62,78,70.1
4.7,97,33,40,55.3
0.8,52,73,100,62.3
3.9,59,60,73,56.5
8.0,96,95,80,87.0
9.0,89,87,96,92.1
2.0,67,89,62,63.4
0.7,52,31,89,48.3
8.8,88,65,92,82.1
3.9,59,99,59,69.4
5.4,58,89,57,64.5
9.7,95,52,57,62.9
0.7,95,76,81,70.7
6.5,60,75,79,67.2
0.7,82,73,60,56.3
3.8,85,48,47,55.6
8.0,75,78,73,74.2
4.3,76,87,89,77.6
10.0,87,36,50,65.9
5.6,71,70,82,76.8
3.2,75,44,90,63.3
2.2,71,82,82,69.8
3.5,54,52,49,55.3
3.7,84,94,47,66.9
0.7,51,89,86,60.9
3.7,84,39,47,56.0
4.6,58,87,58,68.9
7.2,100,76,40,77.9
6.6,100,44,94,71.1
7.1,98,38,91,68.9
0.1,67,42,42,43.0
2.2,92,52,92,71.6
6.6,61,62,83,66.4
4.8,52,38,71,48.5
0.1,67,32,87,47.7
8.0,87,54,93,80.7
7.7,56,100,55,75.3
5.5,82,65,69,71.5
0.7,55,49,88,54.0
7.7,67,83,67,70.6
5.8,94,48,67,62.4
7.8,71,89,55,69.0
7.5,100,66,80,75.0
8.0,88,32,93,70.4
5.2,100,48,90,76.1
1.4,58,82,72,62.3
6.7,84,75,100,87.0
6.2,72,85,64,72.9
7.4,61,99,57,68.5
1.7,73,60,65,58.3
1.9,99,82,45,68.2
8.9,89,63,77,79.7
7.5,58,60,83,69.9
9.1,62,89,42,70.8
7.6,89,40,82,69.1
6.0,91,35,45,62.1
6.5,66,56,53,62.2
8.9,56,36,57,47.4
5.8,66,78,55,67.9
6.3,99,89,63,79.0
1.6,73,62,52,50.6
4.7,51,76,40,56.0
7.2,84,73,77,84.1
2.7,77,56,53,57.1
2.0,68,51,56,51.9
3.1,82,76,96,76.4
2.4,70,77,52,67.9
2.1,59,59,52,50.8
4.2,95,31,48,59.1
9.1,94,44,45,65.1
5.1,58,76,45,57.3
1.9,87,56,96,74.0
0.8,55,100,69,61.6
7.0,100,56,76,78.5
3.8,91,42,96,68.6
8.2,84,84,92,83.5
6.6,67,46,85,63.8
8.0,68,88,53,65.2
2.7,54,39,43,39.6
6.9,74,62,73,69.8
2.6,60,66,41,51.3
9.4,59,37,100,65.0
6.4,66,62,56,66.4
3.2,85,36,81,58.4
2.7,75,63,53,63.0
1.9,80,100,90,79.8
6.9,81,36,56,58.7
2.2,70,70,100,70.6
6.0,67,84,93,78.4
2.6,67,36,69,49.3
6.6,50,47,82,56.7
8.1,63,72,68,69.1
7.8,57,69,46,62.3
7.6,51,82,48,65.3
1.9,100,43,85,70.7
0.9,64,50,62,47.3
7.0,83,86,75,81.0
3.7,85,75,53,66.7
4.3,50,55,59,51.1
0.3,100,53,95,76.1
2.6,70,34,91,59.1
0.3,91,71,56,67.4
8.8,50,72,71,57.4
2.4,81,61,64,65.4
5.6,69,35,90,63.7
0.4,96,96,69,77.5
6.7,85,36,88,67.4
3.2,88,58,96,79.0
9.0,79,63,66,72.0
8.9,56,36,66,57.4
3.3,71,87,85,70.6
9.0,99,60,70,78.6
10.0,94,74,84,85.8
8.3,59,76,65,72.3
8.4,57,69,53,65.6
2.5,76,59,97,72.0
5.8,59,91,87,75.1
0.7,63,100,60,63.9
0.9,95,46,67,63.1
10.0,60,34,54,57.2
3.3,55,30,69,40.6
7.5,70,60,64,64.9
8.1,82,64,90,71.8
8.6,68,59,93,71.8
10.0,88,44,50,70.1
2.4,73,85,83,70.8
0.4,67,89,50,59.1
4.1,84,56,67,64.3
1.3,92,31,94,62.4
0.2,86,93,44,64.0
3.6,68,34,67,58.2
7.8,73,97,47,69.4
5.7,83,42,65,62.9
3.1,71,52,45,54.5
6.5,53,79,71,64.5
2.3,59,66,87,64.7
0.1,51,59,71,49.0
7.6,57,52,51,58.4
6.2,82,63,45,60.3
7.6,87,93,52,78.7
0.4,92,84,78,79.6
8.4,77,100,79,82.7
6.2,59,38,83,57.9
5.6,94,33,100,76.5
6.2,50,95,73,74.8
8.6,83,62,62,77.2
5.9,52,61,80,61.6
5.8,58,73,84,70.1
9.9,54,66,56,66.2
7.6,91,96,84,86.1
4.4,59,89,87,69.4
7.1,61,88,99,76.3
3.9,67,65,40,53.9
2.3,70,78,46,55.5
6.0,70,80,52,64.9
9.3,50,37,53,50.3
9.3,52,79,92,77.8
3.4,54,70,56,57.5
5.3,74,67,69,65.8
2.1,98,84,87,78.5
10.0,57,97,86,84.4
9.8,66,47,100,72.6
6.5,58,94,88,75.6
8.0,81,93,73,78.5
7.2,55,41,66,59.9
5.9,98,70,97,78.7
0.5,89,71,64,63.9
4.5,70,89,99,76.6
6.7,56,79,83,71.8
6.8,56,65,74,63.6
3.7,96,77,48,69.7
9.4,88,100,45,79.3
1.7,76,37,100,60.0
5.0,57,54,65,53.0
6.9,58,36,77,54.8
7.0,77,37,78,62.8
6.5,64,60,97,71.7
2.8,51,41,66,47.8
1.6,56,86,79,68.8
6.4,96,95,98,86.8
6.0,67,41,70,58.1
1.8,71,56,42,44.5
7.1,99,75,63,78.0
4.6,59,36,54,46.8
6.7,99,90,93,88.4
8.4,82,87,45,72.5
1.7,56,87,50,59.3
0.2,52,42,69,46.6
7.8,63,82,74,70.1
6.1,93,94,87,86.3
7.0,95,78,77,77.1
8.4,85,64,82,72.6
8.0,62,46,100,70.6
9.6,65,96,79,79.1
5.4,65,39,68,54.4
4.9,54,63,62,58.6
4.0,74,33,81,58.3
1.5,87,58,81,70.3
5.7,87,75,94,76.9
2.8,99,75,42,70.5
9.2,87,88,65,84.3
5.8,88,90,53,77.7
5.9,97,97,58,80.4
3.5,90,95,60,73.0
0.5,75,63,99,67.2
